year,origin,mfn_rate,additional_rate
2018,USA,0.03,0.25
2019,USA,0.03,0.2775
2020,USA,0.03,0.125
2021,USA,0.03,0.125
2022,USA,0.03,0.125
2023,USA,0.03,0.125
2024,USA,0.03,0.075
2025,USA,0.03,0.165
