Year,US_Global_Capacity_Share_Percent,Industry_CAPEX_BillionUSD,Manufacturing_Employment_Thousands,Fab_Utilization_Percent
2016,12.8,24.5,181.2,86.4
2017,12.6,26.0,183.5,91.2
2018,12.4,29.4,185.1,93.0
2019,12.2,28.5,188.4,84.5
2020,12.0,31.2,189.0,88.0
2021,11.8,40.5,192.3,95.0
2022,11.5,51.3,201.5,92.0
2023,11.2,57.4,206.8,78.0
2024,11.0,62.0,209.5,81.0
2025E,11.2,68.0,215.0,85.0
