Year,Brand,Model 1,Type 1,Model 2,Type 2
2010,Toyota,Camry,Sedan,Corolla,Sedan
2010,Honda,Accord,Sedan,Civic,Sedan
2010,Nissan,Altima,Sedan,Rogue,SUV
2015,Toyota,Camry,Sedan,RAV4,SUV
2015,Honda,CR-V,SUV,Civic,Sedan
2015,Nissan,Rogue,SUV,Altima,Sedan
2020,Toyota,RAV4,SUV,Camry,Sedan
2020,Honda,CR-V,SUV,Civic,Sedan
2020,Nissan,Rogue,SUV,Altima,Sedan
2024,Toyota,RAV4,SUV,Camry,Sedan
2024,Honda,CR-V Hybrid,SUV,Civic,Sedan
2024,Nissan,Rogue,SUV,Sentra,Sedan
