Year,CNY_per_USD,BRL_per_USD,ARS_per_USD,USD_per_USD
2017,6.76,3.19,17.72,1.00
2018,6.63,3.87,37.49,1.00
2019,6.91,4.04,63.01,1.00
2020,6.90,5.16,85.49,1.00
2021,6.45,5.40,105.83,1.00
2022,6.73,5.16,169.15,1.00
2023,7.09,4.99,371.66,1.00
2024,7.19,5.39,1030.78,1.00
2025,7.21,5.30,1350.00,1.00
