场景,Q_US,Q_BR,Q_AR,V_US,V_BR,V_AR
US Tariff +0%,1682.12,7912.75,760.82,82.41,364.74,31.46
US Tariff +10%,1605.81,7946.17,762.96,80.1,368.21,31.72
US Tariff +25%,1508.62,7989.55,765.73,77.06,372.75,32.07
