场景,Q_US,Q_BR,Q_AR,V_US,V_BR,V_AR
基准情景(2025),2115.39,6231.53,1674.63,136.65,256.93,101.39
美国关税 +10%,1489.11,6832.41,1787.88,85.43,285.61,109.04
美国关税 +25%,1831.64,6553.9,1727.52,107.62,271.17,104.55
