"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","美元",
"201801","1201","大豆，不论是否破碎","145","哈萨克斯坦","15","进料加工贸易","65","新疆维吾尔自治区","1,044,349",
"201801","1201","大豆，不论是否破碎","145","哈萨克斯坦","34","海关特殊监管区域物流货物","65","新疆维吾尔自治区","43,913",
"201801","1201","大豆，不论是否破碎","217","埃塞俄比亚","10","一般贸易","12","天津市","217,932",
"201801","1201","大豆，不论是否破碎","217","埃塞俄比亚","10","一般贸易","21","辽宁省","1,045,767",
"201801","1201","大豆，不论是否破碎","305","法国","33","保税监管场所进出境货物","31","上海市","53",
"201801","1201","大豆，不论是否破碎","307","意大利","33","保税监管场所进出境货物","31","上海市","324",
"201801","1201","大豆，不论是否破碎","344","俄罗斯","19","边境小额贸易","23","黑龙江省","38,518,189",
"201801","1201","大豆，不论是否破碎","344","俄罗斯","34","海关特殊监管区域物流货物","21","辽宁省","184,658",
"201801","1201","大豆，不论是否破碎","344","俄罗斯","34","海关特殊监管区域物流货物","23","黑龙江省","293,160",
"201801","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","35","福建省","248,960",
"201801","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","45","广西壮族自治区","36,780,617",
"201801","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","11","北京市","133,896,821",
"201801","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","13","河北省","26,944,163",
"201801","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","21","辽宁省","27,658,151",
"201801","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","22","吉林省","26,252,253",
"201801","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","31","上海市","206,602,705",
"201801","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","32","江苏省","150,251,799",
"201801","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","33","浙江省","40,197,181",
"201801","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","35","福建省","60,542,797",
"201801","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","42","湖北省","18,682,367",
"201801","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","44","广东省","46,806,216",
"201801","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","45","广西壮族自治区","51,759,146",
"201801","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","53","云南省","19,215,721",
"201801","1201","大豆，不论是否破碎","410","巴西","15","进料加工贸易","44","广东省","12,335,400",
"201801","1201","大豆，不论是否破碎","410","巴西","15","进料加工贸易","45","广西壮族自治区","28,673,842",
"201801","1201","大豆，不论是否破碎","410","巴西","33","保税监管场所进出境货物","33","浙江省","10,139,318",
"201801","1201","大豆，不论是否破碎","410","巴西","33","保税监管场所进出境货物","42","湖北省","7,631,858",
"201801","1201","大豆，不论是否破碎","444","乌拉圭","10","一般贸易","45","广西壮族自治区","26,923,439",
"201801","1201","大豆，不论是否破碎","444","乌拉圭","33","保税监管场所进出境货物","45","广西壮族自治区","12,380,953",
"201801","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","11","北京市","27,247,818",
"201801","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","12","天津市","138,406",
"201801","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","13","河北省","26,539,689",
"201801","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","32","江苏省","7,890,744",
