"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","美元",
"201702","1201","大豆，不论是否破碎","410","巴西","33","保税监管场所进出境货物","45","广西壮族自治区","8,491,970",
"201702","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","12","天津市","75,000",
"201702","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","13","河北省","16,564,845",
"201702","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","21","辽宁省","130,051",
"201702","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","33","浙江省","27,467,264",
"201702","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","35","福建省","472,779",
"201702","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","37","山东省","11,892,515",
"201702","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","41","河南省","11,137,500",
"201702","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","44","广东省","49,628,877",
"201702","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","45","广西壮族自治区","29,091,986",
"201702","1201","大豆，不论是否破碎","501","加拿大","14","来料加工贸易","44","广东省","79,866",
"201702","1201","大豆，不论是否破碎","501","加拿大","15","进料加工贸易","44","广东省","8,830,782",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","11","北京市","263,941,373",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","13","河北省","146,665,208",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","21","辽宁省","89,162,572",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","23","黑龙江省","16,300,792",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","31","上海市","204,551,470",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","32","江苏省","230,318,602",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","33","浙江省","22,015,064",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","34","安徽省","34,958,273",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","35","福建省","104,089,240",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","37","山东省","325,689,483",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","41","河南省","22,077,880",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","42","湖北省","17,918,306",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","44","广东省","49,706,421",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","45","广西壮族自治区","227,569,136",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","50","重庆市","23,077,237",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","51","四川省","31,245,764",
"201702","1201","大豆，不论是否破碎","502","美国","10","一般贸易","61","陕西省","9,063,413",
