数据年月,贸易伙伴名称,美元
202001,美国,534237206.0
202001,美国,34434810.0
202001,美国,86225501.0
202001,美国,56567280.0
202001,美国,28452904.0
202001,美国,27982826.0
202001,美国,87170598.0
202001,美国,289260658.0
202001,美国,117394210.0
202001,美国,25972236.0
202001,美国,82244631.0
202002,美国,151962007.0
202002,美国,46800887.0
202002,美国,117168316.0
202002,美国,109821872.0
202002,美国,81207211.0
202002,美国,194435954.0
202002,美国,197065867.0
202002,美国,146934303.0
202002,美国,8863673.0
202002,美国,28871049.0
202002,美国,7416270.0
202002,美国,8863672.0
202003,美国,82009174.0
202003,美国,144543908.0
202003,美国,37659599.0
202003,美国,27633153.0
202003,美国,153770187.0
202003,美国,6555803.0
202003,美国,143090883.0
202003,美国,24216373.0
202003,美国,8202894.0
202003,美国,55042568.0
202003,美国,10732230.0
202003,美国,244.0
202004,美国,82680067.0
202004,美国,14465483.0
202004,美国,44737533.0
202004,美国,15127177.0
202004,美国,3974900.0
202004,美国,28748089.0
202004,美国,5732250.0
202004,美国,7967035.0
202004,美国,26876380.0
202004,美国,9674410.0
202004,美国,24409760.0
202005,美国,31468265.0
202005,美国,1591688.0
202005,美国,24006556.0
202005,美国,128925035.0
202005,美国,2324000.0
202006,美国,15248991.0
202006,美国,31051693.0
202006,美国,3162149.0
202006,美国,26262906.0
202006,美国,4811145.0
202006,美国,26137038.0
202006,美国,204264.0
202007,美国,2160159.0
202007,美国,2309023.0
202007,美国,8521652.0
202007,美国,2216673.0
202007,美国,486924.0
202007,美国,397815.0
202008,美国,32549685.0
202008,美国,2666103.0
202008,美国,22214791.0
202008,美国,3890780.0
202008,美国,789481.0
202008,美国,767255.0
202008,美国,121572.0
202008,美国,184962.0
202009,美国,177393138.0
202009,美国,60541017.0
202009,美国,24933220.0
202009,美国,73655450.0
202009,美国,53863467.0
202009,美国,1179134.0
202009,美国,2758899.0
202009,美国,29191049.0
202009,美国,11110550.0
202009,美国,3078816.0
202009,美国,585267.0
202009,美国,2711773.0
202009,美国,15908353.0
202009,美国,809936.0
202010,美国,214761637.0
202010,美国,124840027.0
202010,美国,54522630.0
202010,美国,26473238.0
202010,美国,94773468.0
202010,美国,505109978.0
202010,美国,547623.0
202010,美国,963300.0
202010,美国,80483679.0
202010,美国,9575393.0
202010,美国,8895373.0
202010,美国,29919056.0
202010,美国,27197550.0
202010,美国,10009944.0
202010,美国,10009944.0
202010,美国,26280944.0
202010,美国,55013526.0
202010,美国,78365942.0
202011,美国,452273947.0
202011,美国,130235333.0
202011,美国,60425621.0
202011,美国,58610657.0
202011,美国,29294674.0
202011,美国,29523145.0
202011,美国,197610026.0
202011,美国,644969481.0
202011,美国,62649333.0
202011,美国,9872822.0
202011,美国,40397456.0
202011,美国,14644980.0
202011,美国,237462169.0
202011,美国,13043200.0
202011,美国,8324366.0
202011,美国,42342909.0
202011,美国,68623581.0
202011,美国,84854141.0
202011,美国,26066097.0
202011,美国,8486220.0
202011,美国,4606977.0
202011,美国,13332660.0
202011,美国,11284268.0
202011,美国,33011385.0
202011,美国,7964206.0
202011,美国,9406880.0
202011,美国,50158318.0
202011,美国,99975826.0
202011,美国,55878364.0
202011,美国,1876491.0
202011,美国,22289.0
202012,美国,548572403.0
202012,美国,193616213.0
202012,美国,163760666.0
202012,美国,84961919.0
202012,美国,252944508.0
202012,美国,493060952.0
202012,美国,9263631.0
202012,美国,8467890.0
202012,美国,23738067.0
202012,美国,5709849.0
202012,美国,231161652.0
202012,美国,24390365.0
202012,美国,8888440.0
202012,美国,37632960.0
202012,美国,99038413.0
202012,美国,32714358.0
202012,美国,21335214.0
202012,美国,8328224.0
202012,美国,2194763.0
202012,美国,21641040.0
202012,美国,10228240.0
202012,美国,6298650.0
202012,美国,9414485.0
202012,美国,28899938.0
202012,美国,59814190.0
202012,美国,88246330.0
202012,美国,49044643.0
202012,美国,40120.0
202012,美国,149722.0
202012,美国,2548648.0
