数据年月,贸易伙伴名称,美元
202401,美国,323493679.0
202401,美国,64152012.0
202401,美国,114165634.0
202401,美国,10142289.0
202401,美国,48368396.0
202401,美国,29963445.0
202401,美国,242805280.0
202401,美国,487902240.0
202401,美国,39595290.0
202401,美国,21924725.0
202401,美国,21870193.0
202401,美国,258070216.0
202401,美国,202722.0
202401,美国,63563709.0
202401,美国,40261577.0
202401,美国,1630995.0
202401,美国,66848140.0
202401,美国,1749952.0
202401,美国,24574285.0
202401,美国,11288200.0
202401,美国,13085309.0
202401,美国,29204278.0
202402,美国,405416882.0
202402,美国,107829877.0
202402,美国,14586650.0
202402,美国,524420.0
202402,美国,136938024.0
202402,美国,92425193.0
202402,美国,1986852.0
202402,美国,3762189.0
202402,美国,27069470.0
202402,美国,1409185.0
202402,美国,127342115.0
202402,美国,264899.0
202402,美国,1411813.0
202402,美国,1973269.0
202402,美国,691539.0
202402,美国,1206321.0
202402,美国,528430.0
202403,美国,736721396.0
202403,美国,57204644.0
202403,美国,17446515.0
202403,美国,663524.0
202403,美国,42830530.0
202403,美国,114479320.0
202403,美国,81966576.0
202403,美国,535010.0
202403,美国,5339818.0
202403,美国,47859628.0
202403,美国,33957876.0
202403,美国,20982377.0
202403,美国,39720324.0
202403,美国,754699.0
202403,美国,419947.0
202403,美国,1074755.0
202403,美国,50215465.0
202404,美国,1135965567.0
202404,美国,12109426.0
202404,美国,62863685.0
202404,美国,43098113.0
202404,美国,94109185.0
202404,美国,576173.0
202404,美国,2148117.0
202404,美国,12207270.0
202404,美国,53413756.0
202404,美国,1004850.0
202404,美国,111618.0
202405,美国,676512325.0
202405,美国,21079794.0
202405,美国,635132.0
202405,美国,2828370.0
202405,美国,3717036.0
202405,美国,16453433.0
202405,美国,2786460.0
202405,美国,1054450.0
202406,美国,707939557.0
202406,美国,11718549.0
202406,美国,926458.0
202406,美国,1709709.0
202406,美国,6498267.0
202406,美国,2939797.0
202406,美国,12786071.0
202406,美国,540227.0
202407,美国,259431260.0
202407,美国,2777441.0
202407,美国,524916.0
202407,美国,3824083.0
202407,美国,2123517.0
202407,美国,1868423.0
202407,美国,1318617.0
202408,美国,105500411.0
202408,美国,519014.0
202408,美国,523715.0
202408,美国,880516.0
202408,美国,7004225.0
202408,美国,269083.0
202409,美国,915094801.0
202409,美国,410645.0
202409,美国,36347048.0
202409,美国,486959.0
202409,美国,503014.0
202409,美国,16269267.0
202409,美国,2460809.0
202410,美国,180014189.0
202410,美国,680920.0
202410,美国,22650980.0
202410,美国,63241195.0
202410,美国,1546010.0
202410,美国,6605819.0
202411,美国,911420678.0
202411,美国,19743559.0
202411,美国,20860446.0
202411,美国,131338354.0
202411,美国,74407262.0
202411,美国,181899987.0
202411,美国,648575.0
202411,美国,33385505.0
202411,美国,33612421.0
202411,美国,34383351.0
202411,美国,1790020.0
202412,美国,141840880.0
202412,美国,218362500.0
202412,美国,74727811.0
202412,美国,31410705.0
202412,美国,149519902.0
202412,美国,23182241.0
202412,美国,220879206.0
202412,美国,390114759.0
202412,美国,36069348.0
202412,美国,10525333.0
202412,美国,115524191.0
202412,美国,9097763.0
202412,美国,175541899.0
202412,美国,6823650.0
202412,美国,145185524.0
202412,美国,149189345.0
202412,美国,4518558.0
202412,美国,446915.0
202412,美国,12287935.0
202412,美国,11296396.0
202412,美国,13965338.0
202412,美国,29862850.0
202412,美国,13463753.0
