数据年月,贸易伙伴名称,美元
201901,美国,708527.0
201901,美国,193692.0
201901,美国,61417995.0
201902,美国,335853752.0
201902,美国,192922.0
201902,美国,30796625.0
201903,美国,605837160.0
201904,美国,700513096.0
201904,美国,127908.0
201905,美国,362607953.0
201905,美国,847812.0
201906,美国,242604716.0
201907,美国,358686585.0
201908,美国,662669066.0
201909,美国,669667610.0
201909,美国,115546.0
201910,美国,441530529.0
201911,美国,681309553.0
201911,美国,6540478.0
201911,美国,50283525.0
201911,美国,53038018.0
201911,美国,25913474.0
201911,美国,4694051.0
201911,美国,66319514.0
201911,美国,49078142.0
201911,美国,18628632.0
201911,美国,16000320.0
201911,美国,18291946.0
201912,美国,481690121.0
201912,美国,22570610.0
201912,美国,117961404.0
201912,美国,75932097.0
201912,美国,27352769.0
201912,美国,56069725.0
201912,美国,249399325.0
201912,美国,51281816.0
201912,美国,9785401.0
201912,美国,7620520.0
201912,美国,11029700.0
201912,美国,26209234.0
201912,美国,80843390.0
