数据年月,贸易伙伴名称,美元
202001,巴西,217593.0
202001,巴西,26323323.0
202001,巴西,133567389.0
202001,巴西,152150784.0
202001,巴西,278189045.0
202001,巴西,5992069.0
202001,巴西,8136800.0
202001,巴西,135085509.0
202001,巴西,109084604.0
202001,巴西,3951000.0
202001,巴西,34438449.0
202001,巴西,26379729.0
202001,巴西,134878932.0
202001,巴西,24304822.0
202001,巴西,34051342.0
202001,巴西,8332200.0
202001,巴西,8834005.0
202001,巴西,3283200.0
202001,巴西,22283762.0
202001,巴西,52148168.0
202002,巴西,57288704.0
202002,巴西,125668457.0
202002,巴西,210102845.0
202002,巴西,48886159.0
202002,巴西,27290900.0
202002,巴西,8071559.0
202002,巴西,73955102.0
202002,巴西,118596107.0
202002,巴西,8842359.0
202002,巴西,22519113.0
202002,巴西,13176353.0
202002,巴西,32674405.0
202002,巴西,28111706.0
202002,巴西,49106133.0
202002,巴西,12973360.0
202002,巴西,6339150.0
202002,巴西,38239617.0
202002,巴西,23725712.0
202003,巴西,57305224.0
202003,巴西,33935498.0
202003,巴西,102988672.0
202003,巴西,27852666.0
202003,巴西,24926440.0
202003,巴西,117915767.0
202003,巴西,103180624.0
202003,巴西,102027544.0
202003,巴西,35571674.0
202003,巴西,5911216.0
202003,巴西,24657942.0
202003,巴西,43633999.0
202003,巴西,4620526.0
202003,巴西,50088708.0
202003,巴西,27708310.0
202003,巴西,6271731.0
202003,巴西,11561900.0
202003,巴西,30901011.0
202003,巴西,7206337.0
202003,巴西,27837885.0
202004,巴西,47398389.0
202004,巴西,130009126.0
202004,巴西,100638263.0
202004,巴西,143026103.0
202004,巴西,52000034.0
202004,巴西,27642938.0
202004,巴西,452293408.0
202004,巴西,426379402.0
202004,巴西,42286989.0
202004,巴西,4877037.0
202004,巴西,72163469.0
202004,巴西,274126676.0
202004,巴西,11136291.0
202004,巴西,7226730.0
202004,巴西,8110047.0
202004,巴西,46823830.0
202004,巴西,252685966.0
202004,巴西,6928532.0
202004,巴西,45189013.0
202004,巴西,5615100.0
202004,巴西,23090088.0
202004,巴西,6658860.0
202004,巴西,3684600.0
202004,巴西,2325678.0
202004,巴西,5530812.0
202004,巴西,9041070.0
202004,巴西,5770672.0
202004,巴西,27171051.0
202004,巴西,22222979.0
202004,巴西,3890014.0
202004,巴西,52119992.0
202005,巴西,293724654.0
202005,巴西,237486606.0
202005,巴西,179272474.0
202005,巴西,124467604.0
202005,巴西,49648521.0
202005,巴西,25807723.0
202005,巴西,539408265.0
202005,巴西,531578479.0
202005,巴西,69028534.0
202005,巴西,11283600.0
202005,巴西,192160611.0
202005,巴西,455682244.0
202005,巴西,20407452.0
202005,巴西,14971886.0
202005,巴西,49383143.0
202005,巴西,36323571.0
202005,巴西,262495090.0
202005,巴西,21263014.0
202005,巴西,84657127.0
202005,巴西,39229313.0
202005,巴西,7177300.0
202005,巴西,21564302.0
202005,巴西,10828900.0
202005,巴西,2959811.0
202005,巴西,12664250.0
202005,巴西,10180500.0
202005,巴西,53756277.0
