数据年月,贸易伙伴名称,美元
202301,阿根廷,71914131.0
202301,阿根廷,44615802.0
202301,阿根廷,45298488.0
202301,阿根廷,43976442.0
202301,阿根廷,378071498.0
202301,阿根廷,11884736.0
202301,阿根廷,44235977.0
202301,阿根廷,14030254.0
202301,阿根廷,17121512.0
202301,阿根廷,14371293.0
202301,阿根廷,61069939.0
202301,阿根廷,45480621.0
202301,阿根廷,14444560.0
202301,阿根廷,17205067.0
202301,阿根廷,13103400.0
202301,阿根廷,687.0
202302,阿根廷,13509706.0
202302,阿根廷,17214202.0
202302,阿根廷,10082291.0
202303,阿根廷,44917103.0
202307,阿根廷,42059072.0
202308,阿根廷,211673.0
202310,阿根廷,665739.0
202310,阿根廷,668.0
202310,阿根廷,668.0
202311,阿根廷,31544521.0
202311,阿根廷,531.0
202312,阿根廷,39884764.0
202312,阿根廷,38884437.0
202312,阿根廷,71234542.0
202312,阿根廷,39228910.0
202312,阿根廷,22486385.0
202312,阿根廷,8961237.0
