year,futures_price,us_fob,br_fob,ar_fob
2015,346.02,924.42,323.99,357.28
2016,362.22,978.74,305.66,303.35
2017,359.39,977.18,322.33,364.76
2018,347.45,938.18,325.51,318.24
2019,326.65,898.23,341.52,357.61
2020,353.13,960.51,354.51,346.09
2021,510.78,1384.24,366.70,339.01
2022,577.95,1509.24,360.92,369.24
2023,520.78,1395.71,374.78,330.18
2024,409.13,1092.29,385.15,356.43
