year,industrial_production_index_2017_100,capacity_utilization_percent,manufacturing_employment_thousand
2016,99.2,74.8,12348
2017,100.0,75.5,12448
2018,102.5,76.9,12691
2019,101.5,75.9,12835
2020,95.0,71.5,12178
2021,99.8,76.2,12453
2022,100.5,77.8,12762
2023,99.2,76.5,12958
2024,100.0,77.0,12991
2025,100.5,76.8,13000
