year,semiconductor_index_2017_100,auto_production_million_vehicles,steel_production_million_short_tons
2016,98.5,12.2,78.5
2017,100.0,11.2,81.6
2018,102.8,11.3,86.6
2019,101.2,10.9,87.8
2020,95.6,8.8,72.7
2021,100.5,9.2,85.8
2022,102.0,10.1,82.0
2023,103.5,10.6,80.9
2024,105.0,11.0,82.5
2025,108.0,11.7,86.0
