Rank	Team	Record	Players
year:2025
Active
Avg Age
Team
Total Cap
Allocations
Cap Space
All
Active	Active
Top 3
Dead
Cap
2	 ORL	41-41 	15	25.3	$152,959,238	$-12,371,238	$152,959,238	$63,257,000	-
3	 UTA	17-65 	15	23.9	$154,114,022	$-13,526,022	$142,648,013	$86,906,400	$11,466,009
4	 SAS	34-48 	15	25.2	$162,809,380	$-22,221,380	$155,231,927	$83,196,166	$7,577,453
5	 OKC	68-14 	15	24.2	$166,001,694	$-25,413,694	$162,209,242	$82,859,950	$3,792,452
6	 CHA	19-63 	15	25.2	$167,423,486	$-26,835,486	$152,436,862	$80,445,913	$14,986,624
7	 MEM	48-34 	15	24.6	$167,814,933	$-27,226,933	$155,850,296	$95,988,718	$8,014,853
8	 CHI	39-43 	15	24.6	$168,006,873	$-27,418,873	$157,180,244	$59,395,348	$8,739,110
9	 PHI	24-58 	15	26.6	$170,340,647	$-29,752,647	$169,548,876	$135,768,738	$791,771
10	 IND	50-32 	15	25.7	$171,232,577	$-30,644,577	$166,839,774	$104,281,300	$2,530,538
11	 SAC	40-42 	15	27.4	$171,370,782	$-30,782,782	$166,101,303	$107,131,940	$1,319,695
12	 HOU	52-30 	15	25.7	$173,496,349	$-32,908,349	$161,552,948	$78,702,108	$7,768,363
13	 ATL	40-42 	15	25.3	$174,418,704	$-33,830,704	$161,255,749	$81,912,604	$7,125,652
14	 LAC	50-32 	15	27.7	$174,670,238	$-34,082,238	$166,986,734	$102,101,025	$3,733,720
15	 POR	36-46 	15	23.9	$176,848,446	$-36,260,446	$165,518,581	$89,691,087	$1,568,032
16	 CLE	64-18 	15	26.0	$178,212,347	$-37,624,347	$169,371,096	$93,832,409	$491,175
17	 TOR	30-52 	15	24.9	$178,496,026	$-37,908,026	$154,302,912	$94,310,843	$16,405,595
18	 BKN	26-56 	15	23.8	$178,836,132	$-38,248,132	$112,077,151	$69,311,624	$58,408,905
19	 MIA	37-45 	15	26.6	$179,350,729	$-38,762,729	$173,088,172	$90,125,126	-
20	 NOP	21-61 	15	24.3	$182,966,321	$-42,378,321	$167,934,095	$98,876,138	$2,715,108
21	 DAL	39-43 	15	26.8	$187,147,472	$-46,559,472	$172,077,663	$99,092,456	$2,328,828
22	 NYK	51-31 	15	26.5	$188,877,651	$-48,289,651	$188,001,268	$110,803,733	$876,383
23	 DEN	50-32 	15	26.0	$192,786,656	$-52,198,656	$182,574,315	$123,292,088	-
24	 MIL	48-34 	15	26.7	$195,746,447	$-55,158,447	$183,221,333	$122,031,412	-
25	 BOS	61-21 	15	27.5	$197,048,229	$-56,460,229	$193,098,445	$114,054,140	-
26	 GSW	48-34 	15	27.2	$199,518,342	$-58,930,342	$176,474,440	$128,667,036	$306,447
27	 LAL	50-32 	15	27.7	$200,785,985	$-60,197,985	$182,745,885	$108,760,785	$5,514,986
28	 WAS	18-64 	15	24.5	$211,677,970	$-71,089,970	$162,581,956	$83,151,786	$7,021,331
29	 PHX	36-46 	15	28.1	$228,464,502	$-87,876,502	$210,557,299	$150,588,751	$3,814,041
30	 MIN	49-33 	15	26.1	$236,725,861	$-96,137,861	$198,847,571	$119,077,906	$3,705,899
Totals	-	450	-	$5,429,956,259	$-1,212,316,259	$4,997,263,066	$2,914,173,567	$188,821,512
Averages	-	15.0	25.8	$180,998,542	$-40,410,542	$166,575,436	$97,139,119	$6,294,050

Rank	Team	Record	Players
year:2023
Active
Avg Age
Team
Total Cap
Allocations
Cap Space
All
Active	Active
Top 3
Dead
Cap
1	 UTA	37-45 	15	23.8	$131,757,411	$4,263,589	$123,547,474	$66,352,629	$8,209,937
2	 DET	17-65 	15	24.4	$136,419,412	$-398,412	$84,251,419	$42,031,943	$52,167,993
3	 ORL	34-48 	15	24.6	$139,355,784	$-3,334,784	$130,964,229	$47,450,000	-
4	 SAS	22-60 	15	22.9	$140,908,582	$-4,887,582	$94,551,623	$44,260,680	$46,356,959
5	 CHA	27-55 	15	24.2	$141,036,011	$-5,015,011	$97,074,991	$40,305,635	$40,357,482
6	 HOU	22-60 	15	26.2	$145,302,009	$-9,281,009	$143,402,009	$76,033,971	$1,900,000
7	 IND	35-47 	15	25.1	$146,679,278	$-10,658,278	$127,076,533	$72,868,408	$17,800,976
8	 SAC	48-34 	15	26.2	$148,693,550	$-12,672,550	$145,124,481	$78,900,060	$3,569,069
9	 ATL	41-41 	15	25.3	$156,139,798	$-20,118,798	$149,336,848	$80,769,506	$6,802,950
10	 BKN	45-37 	15	24.3	$157,982,129	$-21,961,129	$139,773,430	$84,049,930	$11,947,602
11	 OKC	40-42 	15	24.7	$160,502,705	$-24,481,705	$127,645,232	$81,984,025	$32,857,473
12	 TOR	41-41 	15	25.9	$161,887,358	$-25,866,358	$138,558,316	$65,383,929	$21,309,336
13	 NYK	47-35 	15	26.4	$162,956,334	$-26,935,334	$160,343,147	$73,290,506	$2,613,187
14	 MEM	51-31 	15	25.2	$162,996,801	$-26,975,801	$135,440,708	$79,941,165	$25,754,324
15	 CHI	40-42 	15	26.3	$166,348,969	$-30,327,969	$162,193,482	$89,129,337	$2,135,781
16	 CLE	51-31 	15	26.1	$168,250,835	$-32,229,835	$160,092,854	$87,167,280	$4,118,569
17	 POR	33-49 	15	23.9	$171,538,887	$-35,517,887	$157,605,999	$84,152,788	$6,289,938
18	 DAL	38-44 	15	25.6	$175,321,021	$-39,300,021	$162,282,786	$95,998,985	$2,348,324
19	 NOP	42-40 	15	25.7	$176,969,502	$-40,948,502	$164,656,924	$103,641,119	$244,761
20	 MIA	44-38 	15	27.3	$180,754,950	$-44,733,950	$172,894,063	$104,784,020	$1,801,769
21	 PHI	54-28 	15	27.6	$181,909,301	$-45,888,301	$161,970,318	$106,722,598	$2,567,931
22	 LAL	43-39 	15	25.9	$181,975,999	$-45,954,999	$168,055,994	$105,515,123	-
23	 DEN	53-29 	15	26.3	$184,751,085	$-48,730,085	$176,890,198	$114,827,600	-
24	 MIL	58-24 	15	27.9	$188,285,708	$-52,264,708	$182,226,590	$120,601,156	-
25	 BOS	57-25 	15	26.1	$188,759,360	$-52,738,360	$184,845,028	$106,236,607	$92,857
26	 WAS	35-47 	15	24.3	$189,901,033	$-53,880,033	$132,379,717	$67,023,539	$15,838,877
27	 PHX	45-37 	16	28.3	$195,220,617	$-59,199,617	$188,290,459	$130,407,223	$3,040,870
28	 MIN	42-40 	15	25.6	$198,497,741	$-62,476,741	$164,180,564	$101,376,200	$348,225
29	 LAC	44-38 	15	28.4	$202,080,521	$-66,059,521	$198,296,474	$126,960,763	$1,764,341
30	 GSW	44-38 	15	26.9	$224,848,124	$-88,827,124	$206,814,776	$125,935,055	-
Totals	-	451	-	$5,068,030,815	$-987,400,815	$4,540,766,666	$2,604,101,780	$312,239,531
Averages	-	15.0	25.7	$168,934,361	$-32,913,361	$151,358,889	$86,803,393	$10,407,984

Rank	Team	Record	Players
year:2022
Active
Avg Age
Team
Total Cap
Allocations
Cap Space
All
Active	Active
Top 3
Dead
Cap
1	 SAS	34-48 	15	23.9	$101,649,048	$22,005,952	$70,878,022	$32,650,000	$30,771,026
2	 IND	25-57 	15	25.8	$122,145,349	$1,509,651	$110,310,554	$64,941,619	$11,834,795
3	 DET	23-59 	15	24.2	$127,673,493	$-4,018,493	$97,376,476	$42,602,800	$30,297,017
4	 MEM	56-26 	15	23.8	$127,756,781	$-4,101,781	$123,017,190	$61,873,434	$3,101,625
5	 HOU	20-62 	15	23.9	$138,296,534	$-14,641,534	$48,379,407	$25,389,697	$88,279,161
6	 ORL	22-60 	15	23.7	$139,801,010	$-16,146,010	$99,161,703	$48,050,000	$25,994,324
7	 CHA	43-39 	15	24.1	$146,049,640	$-22,394,640	$104,845,190	$64,161,316	$19,827,949
8	 UTA	49-33 	15	25.5	$147,162,541	$-23,507,541	$92,962,689	$46,315,454	$54,199,852
9	 ATL	43-39 	15	24.1	$149,133,740	$-25,478,740	$149,028,218	$79,303,397	$105,522
10	 TOR	48-34 	15	26.1	$149,260,166	$-25,605,166	$144,096,592	$74,055,815	$5,163,574
11	 NYK	37-45 	15	24.7	$150,263,571	$-26,608,571	$149,994,034	$71,869,332	$269,537
12	 POR	27-55 	15	23.5	$151,480,955	$-27,825,955	$136,161,044	$85,768,921	$8,371,799
13	 MIA	53-29 	15	27.9	$152,766,041	$-29,111,041	$149,035,368	$96,338,414	$58,493
