RANK,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,DENNIS SCHRÖDER,LAL,29,32,19,13,3.6,2.1,0.6,1.2,52.6,0.1,0.4,21.4,0.8,0.8,100,0.1,0.3,0.3,0.3,0.1,0.0,0.0,0.4,3.1,2,0,1.8
2,LEBRON JAMES,LAL,38,29,16,13,4.5,3.9,1.4,3.1,46.1,0.3,1.2,26.5,0.8,1.0,79.3,0.1,0.6,0.8,0.8,0.2,0.0,0.1,0.3,6.2,11,1,-0.2
3,AUSTIN REAVES,LAL,25,28,15,13,3.2,1.4,0.3,0.5,69.2,0.1,0.2,50.0,0.6,0.8,81.0,0.0,0.1,0.1,0.3,0.1,0.1,0.0,0.3,2.2,0,0,1.0
4,ANTHONY DAVIS,LAL,30,27,13,14,4.1,2.2,0.7,1.9,38.0,0.1,0.3,25.0,0.7,1.1,64.5,0.4,1.3,1.6,0.3,0.1,0.1,0.2,0.4,5.7,22,0,0.2
5,RUSSELL WESTBROOK,LAC,34,24,10,14,3.9,1.8,0.7,1.9,34.8,0.1,0.5,27.3,0.4,0.7,52.9,0.3,0.5,0.7,0.6,0.1,0.2,0.1,0.6,4.4,8,2,-0.5
6,TROY BROWN JR.,LAL,23,23,12,11,2.9,0.6,0.2,0.5,41.7,0.1,0.3,37.5,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.2,1.3,1,0,0.4
7,PATRICK BEVERLEY,CHI,34,19,9,10,3.1,0.5,0.2,0.4,37.5,0.1,0.3,40.0,0.1,0.3,33.3,0.2,0.2,0.4,0.1,0.0,0.3,0.1,0.6,2.1,0,0,-1.1
8,WENYEN GABRIEL,LAL,26,15,7,8,2.4,0.9,0.4,0.4,100,0.1,0.1,100,0.1,0.1,50.0,0.2,0.0,0.2,0.0,0.1,0.0,0.0,0.4,1.1,0,0,0.3
9,LONNIE WALKER IV,LAL,24,14,5,9,2.9,0.5,0.1,0.6,22.2,0.1,0.3,50.0,0.1,0.1,100,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.8,0,0,-1.6
10,JARRED VANDERBILT,LAL,24,10,5,5,1.7,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.4,50.0,0.4,0.2,0.6,0.0,0.1,0.1,0.0,0.2,1.1,3,0,0.2
10,MALIK BEASLEY,LAL,26,10,5,5,0.8,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5
12,JUAN TOSCANO-ANDERSON,UTA,30,9,6,3,1.1,0.4,0.2,0.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.6,0,0,1.0
12,THOMAS BRYANT,DEN,25,9,6,3,2.8,2.9,1.3,1.8,75.0,0.1,0.3,33.3,0.1,0.1,100,0.7,0.4,1.1,0.0,0.0,0.0,0.1,0.2,4.6,4,0,2.2
14,RUI HACHIMURA,LAL,25,8,6,2,2.9,0.9,0.4,0.8,50.0,0.1,0.4,33.3,0.0,0.0,0.0,0.3,0.5,0.8,0.1,0.0,0.0,0.3,0.1,2.7,0,0,5.4
15,D'ANGELO RUSSELL,LAL,27,6,3,3,2.7,1.2,0.5,1.7,30.0,0.2,1.0,16.7,0.0,0.0,0.0,0.2,0.2,0.3,0.3,0.0,0.2,0.0,0.2,2.6,1,0,2.5
16,MAX CHRISTIE,LAL,20,5,2,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.2,0.7,0,0,-1.6
17,KENDRICK NUNN,WAS,27,4,1,3,1.6,0.8,0.3,0.8,33.3,0.3,0.8,33.3,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.8,1.4,0,0,0.8
18,MATT RYAN,MIN,26,1,1,0,0.0,3.0,1.0,1.0,100,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,3.0
