RANK,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,JAKE LARAVIA,LAL,24,14,13,1,2.2,1.0,0.4,0.6,62.5,0.1,0.4,40.0,0.1,0.1,100,0.3,0.3,0.6,0.1,0.1,0.0,0.0,0.2,1.8,0,0,4.1
2,LUKA DONČIĆ,LAL,26,12,10,2,2.5,1.8,0.4,1.1,38.5,0.3,0.7,37.5,0.7,0.8,88.9,0.0,0.4,0.4,0.7,0.1,0.1,0.0,0.2,3.4,8,2,2.6
2,MARCUS SMART,LAL,31,12,10,2,1.5,0.8,0.2,0.6,28.6,0.0,0.2,0.0,0.5,0.6,85.7,0.2,0.3,0.4,0.1,0.2,0.1,0.0,0.2,1.5,0,0,2.1
4,LEBRON JAMES,LAL,41,11,9,2,2.4,2.9,1.0,1.5,64.7,0.2,0.5,40.0,0.7,1.0,72.7,0.2,0.5,0.7,0.5,0.1,0.1,0.1,0.1,4.9,3,0,2.5
4,RUI HACHIMURA,LAL,27,11,10,1,2.4,1.3,0.4,0.8,44.4,0.4,0.5,66.7,0.2,0.3,66.7,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.4,1.5,0,0,2.3
6,DEANDRE AYTON,LAL,27,9,9,0,2.8,0.7,0.2,0.3,66.7,0.0,0.0,0.0,0.2,0.2,100,0.2,0.6,0.8,0.2,0.0,0.1,0.3,0.2,3.3,7,0,2.7
7,JARRED VANDERBILT,LAL,26,7,5,2,1.6,0.7,0.3,0.3,100,0.1,0.1,100,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,1.1,0,0,0.6
8,AUSTIN REAVES,LAL,27,6,6,0,2.2,2.0,0.5,1.3,37.5,0.0,0.5,0.0,1.0,1.0,100,0.0,0.3,0.3,0.2,0.3,0.0,0.0,0.0,2.3,4,0,1.5
8,JAXSON HAYES,LAL,25,6,5,1,1.4,0.3,0.2,0.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0,0,1.5
10,DALTON KNECHT,LAL,24,3,2,1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0,0,-2.0
10,GABE VINCENT,LAL,29,3,2,1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
12,MAXI KLEBER,LAL,34,2,2,0,0.8,1.0,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.5
13,BRONNY JAMES,LAL,21,1,1,0,1.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0
13,NICK SMITH JR.,LAL,21,1,1,0,0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0
