RANK,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,AUSTIN REAVES,LAL,26,32,23,9,3.9,2.3,0.6,1.3,43.9,0.2,0.7,31.8,1.0,1.1,88.6,0.1,0.4,0.5,0.5,0.1,0.1,0.1,0.3,4.0,5,1,1.2
2,ANTHONY DAVIS,LAL,31,30,23,7,4.6,2.8,0.8,1.5,52.2,0.0,0.3,11.1,1.2,1.4,85.7,0.4,1.0,1.4,0.2,0.2,0.1,0.4,0.5,6.0,29,1,1.1
3,LEBRON JAMES,LAL,39,28,19,9,4.1,3.5,1.3,2.4,52.9,0.3,1.0,25.9,0.7,0.9,73.1,0.1,1.1,1.3,0.6,0.5,0.1,0.2,0.2,6.4,8,2,0.9
4,TAUREAN PRINCE,LAL,30,23,15,8,3.1,0.7,0.2,0.5,36.4,0.0,0.2,20.0,0.3,0.3,75.0,0.0,0.3,0.3,0.1,0.0,0.0,0.0,0.2,1.3,0,0,0.2
5,D'ANGELO RUSSELL,LAL,28,19,16,3,4.1,2.4,0.6,1.5,37.9,0.3,0.8,40.0,0.9,0.9,100,0.1,0.4,0.5,0.6,0.3,0.0,0.1,0.2,3.9,3,0,1.8
6,CAM REDDISH,LAL,24,15,11,4,2.6,0.7,0.2,0.5,42.9,0.1,0.3,40.0,0.1,0.3,50.0,0.1,0.1,0.2,0.1,0.0,0.2,0.0,0.2,1.6,0,0,1.3
7,RUI HACHIMURA,LAL,26,13,11,2,4.2,1.5,0.5,0.9,50.0,0.1,0.4,20.0,0.5,0.5,100,0.5,0.3,0.8,0.1,0.1,0.0,0.0,0.2,2.5,1,0,0.0
8,JAXSON HAYES,LAL,24,9,6,3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.5,0,0,-1.6
9,CHRISTIAN WOOD,LAL,28,7,5,2,3.2,0.3,0.1,0.4,33.3,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.7,0.9,0.1,0.0,0.0,0.1,0.3,2.0,1,0,1.7
9,SPENCER DINWIDDIE,LAL,31,7,7,0,3.3,0.9,0.1,0.4,33.3,0.1,0.3,50.0,0.4,0.6,75.0,0.0,0.0,0.0,0.3,0.1,0.0,0.1,0.4,1.6,0,0,1.4
11,MAX CHRISTIE,LAL,21,6,5,1,1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,50.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0,0,1.0
12,JARRED VANDERBILT,LAL,25,5,4,1,3.7,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.2,0.2,0.0,0.6,1.5,0,0,-1.0
13,GABE VINCENT,LAL,28,3,2,1,4.8,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0,0,1.0
14,MAXWELL LEWIS,LAL,21,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.5,0,0,0.0
15,COLIN CASTLETON,LAL,24,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
15,DYLAN WINDLER,ATL,27,1,1,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
15,JALEN HOOD-SCHIFINO,LAL,21,1,1,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
