RANK,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,AUSTIN REAVES,LAL,27,34,20,14,2.6,1.8,0.4,1.1,40.5,0.2,0.7,30.4,0.7,0.9,80.6,0.0,0.1,0.1,0.4,0.1,0.1,0.1,0.4,2.9,7,1,0.7
1,LEBRON JAMES,LAL,40,34,22,12,3.0,2.6,0.9,1.6,51.8,0.3,0.8,39.3,0.5,0.6,81.8,0.1,0.6,0.7,0.6,0.2,0.1,0.1,0.2,4.7,18,5,1.6
3,RUI HACHIMURA,LAL,27,24,15,9,2.6,0.8,0.3,0.5,61.5,0.1,0.3,50.0,0.0,0.1,0.0,0.3,0.3,0.6,0.0,0.0,0.1,0.1,0.1,2.0,1,0,1.6
4,GABE VINCENT,LAL,29,20,13,7,2.3,0.8,0.3,0.5,55.6,0.2,0.3,60.0,0.2,0.2,100,0.1,0.1,0.1,0.2,0.0,0.3,0.1,0.5,2.0,0,0,0.4
5,DORIAN FINNEY-SMITH,LAL,32,19,13,6,2.7,0.4,0.1,0.6,18.2,0.0,0.4,0.0,0.2,0.3,80.0,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.0,1.3,0,0,1.8
6,ANTHONY DAVIS,DAL,32,18,9,9,3.1,2.2,0.7,1.3,56.5,0.2,0.3,80.0,0.5,0.8,60.0,0.0,0.7,0.7,0.2,0.3,0.0,0.2,0.4,3.8,15,0,-0.1
7,MAX CHRISTIE,DAL,22,17,10,7,2.5,0.6,0.2,0.3,60.0,0.1,0.1,50.0,0.2,0.2,100,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.3,1.4,0,0,0.5
8,LUKA DONČIĆ,LAL,26,13,8,5,3.4,2.2,0.8,2.1,40.7,0.3,0.8,36.4,0.2,0.2,66.7,0.1,0.5,0.6,0.5,0.2,0.1,0.0,0.3,3.6,6,2,1.5
9,DALTON KNECHT,LAL,24,12,5,7,2.3,1.0,0.3,0.6,57.1,0.2,0.3,50.0,0.2,0.2,100,0.2,0.3,0.5,0.1,0.0,0.0,0.0,0.2,1.7,0,0,-0.7
10,D'ANGELO RUSSELL,BKN,29,11,5,6,1.1,0.2,0.1,0.3,33.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.4,0,0,-0.6
10,JAXSON HAYES,LAL,25,11,7,4,2.4,1.1,0.5,0.5,100,0.0,0.0,0.0,0.2,0.2,100,0.4,0.2,0.5,0.3,0.2,0.0,0.0,0.5,2.0,0,0,2.3
12,JARRED VANDERBILT,LAL,26,9,4,5,1.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,50.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0,0,-3.1
13,CAM REDDISH,LAL,25,6,3,3,1.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.3
14,JORDAN GOODWIN,LAL,26,5,2,3,1.9,0.6,0.2,0.2,100,0.2,0.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0,0,-1.0
15,CHRISTIAN KOLOKO,LAL,25,3,2,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.5,0,0,0.0
16,SHAKE MILTON,LAL,28,2,1,1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0,0,1.5
17,MARKIEFF MORRIS,LAL,35,1,0,1,2.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-9.0
17,TREY JEMISON III,LAL,25,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
