"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","美元",
"202401","1201","大豆，不论是否破碎","203","贝宁","10","一般贸易","11","北京市","59,573",
"202401","1201","大豆，不论是否破碎","217","埃塞俄比亚","10","一般贸易","11","北京市","3,290,857",
"202401","1201","大豆，不论是否破碎","217","埃塞俄比亚","10","一般贸易","12","天津市","950,860",
"202401","1201","大豆，不论是否破碎","217","埃塞俄比亚","10","一般贸易","13","河北省","273,098",
"202401","1201","大豆，不论是否破碎","217","埃塞俄比亚","10","一般贸易","31","上海市","2,905,021",
"202401","1201","大豆，不论是否破碎","217","埃塞俄比亚","10","一般贸易","32","江苏省","684,890",
"202401","1201","大豆，不论是否破碎","217","埃塞俄比亚","10","一般贸易","34","安徽省","340,715",
"202401","1201","大豆，不论是否破碎","217","埃塞俄比亚","15","进料加工贸易","21","辽宁省","519,273",
"202401","1201","大豆，不论是否破碎","217","埃塞俄比亚","15","进料加工贸易","22","吉林省","264,792",
"202401","1201","大豆，不论是否破碎","247","坦桑尼亚","10","一般贸易","11","北京市","79,908",
"202401","1201","大豆，不论是否破碎","247","坦桑尼亚","10","一般贸易","12","天津市","111,730",
"202401","1201","大豆，不论是否破碎","247","坦桑尼亚","10","一般贸易","23","黑龙江省","266,939",
"202401","1201","大豆，不论是否破碎","247","坦桑尼亚","10","一般贸易","32","江苏省","149,417",
"202401","1201","大豆，不论是否破碎","247","坦桑尼亚","10","一般贸易","37","山东省","219,071",
"202401","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","15","内蒙古自治区","879,063",
"202401","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","21","辽宁省","1,759,350",
"202401","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","23","黑龙江省","13,755,617",
"202401","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","37","山东省","310,705",
"202401","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","51","四川省","2,050,920",
"202401","1201","大豆，不论是否破碎","344","俄罗斯","15","进料加工贸易","23","黑龙江省","171,175",
"202401","1201","大豆，不论是否破碎","344","俄罗斯","19","边境小额贸易","23","黑龙江省","17,033,311",
"202401","1201","大豆，不论是否破碎","344","俄罗斯","34","海关特殊监管区域物流货物","23","黑龙江省","640,215",
"202401","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","11","北京市","92,391",
"202401","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","12","天津市","515,777",
"202401","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","13","河北省","463,551",
"202401","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","31","上海市","406,578",
"202401","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","11","北京市","8,980,063",
"202401","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","34","安徽省","11,165,000",
"202401","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","36","江西省","11,782,980",
"202401","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","37","山东省","36,862,297",
"202401","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","50","重庆市","4,476,971",
"202401","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","53","云南省","16,679,403",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","11","北京市","39,497,335",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","12","天津市","37,767,916",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","21","辽宁省","192,371,521",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","23","黑龙江省","79,180,488",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","31","上海市","301,414,156",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","32","江苏省","679,955,215",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","33","浙江省","38,682,800",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","35","福建省","150,219,038",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","37","山东省","198,684,441",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","42","湖北省","16,039,926",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","43","湖南省","15,964,041",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","44","广东省","38,798,414",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","45","广西壮族自治区","199,235,876",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","46","海南省","40,823,682",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","50","重庆市","13,610,349",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","53","云南省","73,310,626",
"202401","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","61","陕西省","76,677,085",
"202401","1201","大豆，不论是否破碎","410","巴西","15","进料加工贸易","32","江苏省","10,594,384",
"202401","1201","大豆，不论是否破碎","410","巴西","33","保税监管场所进出境货物","43","湖南省","123,124,579",
"202401","1201","大豆，不论是否破碎","410","巴西","34","海关特殊监管区域物流货物","45","广西壮族自治区","59,947",
"202401","1201","大豆，不论是否破碎","444","乌拉圭","10","一般贸易","11","北京市","9,507,002",
"202401","1201","大豆，不论是否破碎","444","乌拉圭","10","一般贸易","23","黑龙江省","9,219,523",
"202401","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","32","江苏省","21,292,929",
"202401","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","34","安徽省","480,259",
"202401","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","35","福建省","30,294,410",
"202401","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","37","山东省","2,386,042",
"202401","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","44","广东省","26,977,915",
"202401","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","50","重庆市","11,027,596",
"202401","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","61","陕西省","17,245,292",
"202401","1201","大豆，不论是否破碎","501","加拿大","14","来料加工贸易","44","广东省","379,224",
"202401","1201","大豆，不论是否破碎","501","加拿大","15","进料加工贸易","35","福建省","8,322,488",
"202401","1201","大豆，不论是否破碎","501","加拿大","15","进料加工贸易","44","广东省","11,566,261",
"202401","1201","大豆，不论是否破碎","501","加拿大","15","进料加工贸易","45","广西壮族自治区","2,812,506",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","11","北京市","323,493,679",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","12","天津市","64,152,012",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","13","河北省","114,165,634",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","14","山西省","10,142,289",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","21","辽宁省","48,368,396",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","23","黑龙江省","29,963,445",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","31","上海市","242,805,280",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","32","江苏省","487,902,240",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","33","浙江省","39,595,290",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","34","安徽省","21,924,725",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","35","福建省","21,870,193",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","37","山东省","258,070,216",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","41","河南省","202,722",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","43","湖南省","63,563,709",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","44","广东省","40,261,577",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","46","海南省","1,630,995",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","50","重庆市","66,848,140",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","53","云南省","1,749,952",
"202401","1201","大豆，不论是否破碎","502","美国","10","一般贸易","61","陕西省","24,574,285",
"202401","1201","大豆，不论是否破碎","502","美国","15","进料加工贸易","32","江苏省","11,288,200",
"202401","1201","大豆，不论是否破碎","502","美国","15","进料加工贸易","37","山东省","13,085,309",
"202401","1201","大豆，不论是否破碎","502","美国","33","保税监管场所进出境货物","43","湖南省","29,204,278",
"202402","1201","大豆，不论是否破碎","203","贝宁","10","一般贸易","11","北京市","1,139,427",
"202402","1201","大豆，不论是否破碎","203","贝宁","10","一般贸易","13","河北省","143,263",
"202402","1201","大豆，不论是否破碎","203","贝宁","10","一般贸易","21","辽宁省","142,602",
"202402","1201","大豆，不论是否破碎","203","贝宁","10","一般贸易","32","江苏省","141,900",
"202402","1201","大豆，不论是否破碎","203","贝宁","10","一般贸易","37","山东省","282,351",
"202402","1201","大豆，不论是否破碎","203","贝宁","15","进料加工贸易","22","吉林省","227,375",
"202402","1201","大豆，不论是否破碎","217","埃塞俄比亚","10","一般贸易","11","北京市","631,046",
"202402","1201","大豆，不论是否破碎","217","埃塞俄比亚","10","一般贸易","12","天津市","849,902",
"202402","1201","大豆，不论是否破碎","217","埃塞俄比亚","15","进料加工贸易","21","辽宁省","407,329",
"202402","1201","大豆，不论是否破碎","217","埃塞俄比亚","15","进料加工贸易","22","吉林省","132,396",
"202402","1201","大豆，不论是否破碎","217","埃塞俄比亚","15","进料加工贸易","23","黑龙江省","584,866",
"202402","1201","大豆，不论是否破碎","247","坦桑尼亚","10","一般贸易","11","北京市","42,869",
"202402","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","11","北京市","56",
"202402","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","21","辽宁省","2,753,831",
"202402","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","23","黑龙江省","10,441,216",
"202402","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","35","福建省","2,860,650",
"202402","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","37","山东省","78,857",
"202402","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","43","湖南省","2,707,191",
"202402","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","51","四川省","354,877",
