"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","美元",
"201901","1201","大豆，不论是否破碎","145","哈萨克斯坦","15","进料加工贸易","65","新疆维吾尔自治区","378,046",
"201901","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","23","黑龙江省","216,860",
"201901","1201","大豆，不论是否破碎","344","俄罗斯","19","边境小额贸易","23","黑龙江省","27,815,750",
"201901","1201","大豆，不论是否破碎","344","俄罗斯","34","海关特殊监管区域物流货物","21","辽宁省","130,832",
"201901","1201","大豆，不论是否破碎","344","俄罗斯","34","海关特殊监管区域物流货物","23","黑龙江省","432,000",
"201901","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","11","北京市","111,388,450",
"201901","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","32","江苏省","101,522,745",
"201901","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","34","安徽省","6,156,303",
"201901","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","35","福建省","9,643,059",
"201901","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","37","山东省","18,469,337",
"201901","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","41","河南省","45,170,126",
"201901","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","43","湖南省","9,444,668",
"201901","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","44","广东省","66,540,494",
"201901","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","45","广西壮族自治区","31,289,295",
"201901","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","51","四川省","14,186,894",
"201901","1201","大豆，不论是否破碎","402","阿根廷","15","进料加工贸易","37","山东省","14,004,300",
"201901","1201","大豆，不论是否破碎","402","阿根廷","15","进料加工贸易","44","广东省","14,604,983",
"201901","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","11","北京市","159,690,391",
"201901","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","12","天津市","63,633,918",
"201901","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","31","上海市","368,699,622",
"201901","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","32","江苏省","543,446,129",
"201901","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","33","浙江省","29,726,233",
"201901","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","35","福建省","239,576,205",
"201901","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","37","山东省","367,671,686",
"201901","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","41","河南省","29,882,955",
