Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,PG,38,38,36.3,10.6,22.4,.474,3.5,10.3,.344,7.1,12.1,.584,.552,8.9,11.4,.781,0.8,6.9,7.7,8.7,1.5,0.5,4.2,2.6,33.6,,doncilu01
2,Austin Reaves,27,SG,23,22,35.3,8.2,16.2,.507,2.7,7.4,.365,5.5,8.8,.626,.590,7.5,8.6,.873,0.7,4.5,5.2,6.3,1.0,0.2,3.3,2.3,26.6,,reaveau01
3,LeBron James,41,SF,29,29,33.2,8.1,16.2,.502,1.5,4.6,.321,6.7,11.6,.574,.548,4.2,5.6,.748,0.7,5.2,5.9,6.7,1.1,0.6,2.9,1.5,22.0,,jamesle01
4,Rui Hachimura,27,PF,36,27,30.1,4.7,9.4,.500,1.8,4.2,.433,2.9,5.3,.553,.596,0.9,1.1,.756,0.7,2.8,3.5,0.9,0.6,0.3,0.8,1.7,12.1,,hachiru01
5,Marcus Smart,31,SG,37,30,28.5,3.2,7.9,.406,1.6,4.9,.326,1.6,3.0,.536,.507,1.9,2.2,.854,0.7,2.4,3.1,2.7,1.3,0.4,1.7,2.8,9.9,,smartma01
6,Deandre Ayton,27,C,41,41,28.3,6.1,9.2,.663,0.0,0.0,,6.1,9.2,.663,.663,1.1,1.7,.643,2.5,6.0,8.5,0.8,0.6,1.0,1.5,2.3,13.3,,aytonde01
7,Jake LaRavia,24,PF,46,25,27.4,3.4,7.3,.459,1.2,3.5,.337,2.2,3.8,.571,.540,1.5,2.0,.758,1.5,2.7,4.2,2.0,1.4,0.5,1.1,2.2,9.4,,laravja01
8,Gabe Vincent,29,PG,26,7,19.5,1.5,4.5,.342,1.3,3.5,.370,0.2,1.0,.240,.487,0.4,0.4,.909,0.3,0.7,1.0,1.3,0.4,0.0,0.4,2.0,4.8,,vincega01
9,Jarred Vanderbilt,26,PF,37,3,19.5,1.9,4.0,.473,0.5,1.6,.311,1.4,2.4,.586,.537,0.6,0.9,.667,1.6,3.5,5.1,1.4,0.9,0.4,1.1,1.9,4.9,,vandeja01
10,Jaxson Hayes,25,C,38,4,17.7,2.6,3.4,.773,0.0,0.0,1.000,2.6,3.3,.772,.777,1.1,1.8,.632,1.4,2.6,3.9,0.8,0.3,0.6,0.5,2.1,6.4,,hayesja02
11,Nick Smith Jr.,21,SG,23,1,13.0,2.3,5.4,.427,1.2,3.0,.397,1.1,2.4,.464,.536,0.3,0.5,.636,0.1,0.7,0.8,1.2,0.3,0.1,0.8,1.0,6.1,,smithni01
12,Dalton Knecht,24,SF,37,1,12.4,1.8,4.2,.442,0.8,2.5,.323,1.0,1.6,.623,.539,0.3,0.4,.688,0.3,1.2,1.5,0.4,0.2,0.2,0.4,1.0,4.8,,knechda01
13,Maxi Kleber,34,PF,21,1,11.4,0.6,1.9,.325,0.2,0.8,.235,0.4,1.1,.391,.375,0.5,0.7,.786,0.7,1.1,1.8,0.7,0.3,0.2,0.3,1.5,2.0,,klebima01
14,Kobe Bufkin,22,SG,4,0,11.3,1.0,2.8,.364,0.5,1.8,.286,0.5,1.0,.500,.455,0.5,0.5,1.000,0.3,1.0,1.3,0.5,0.3,0.8,0.3,0.8,3.0,,bufkiko01
15,Drew Timme,25,PF,13,0,8.0,1.5,2.5,.594,0.4,0.9,.417,1.1,1.5,.700,.672,0.0,0.1,.000,0.5,0.8,1.4,0.8,0.4,0.0,0.3,0.6,3.3,,timmedr01
16,Bronny James,21,SG,25,1,6.9,0.6,1.7,.372,0.4,0.9,.391,0.3,0.8,.350,.477,0.1,0.1,1.000,0.2,0.3,0.5,1.1,0.4,0.0,0.5,0.5,1.7,,jamesbr02
17,Adou Thiero,21,SF,15,0,5.8,0.5,1.2,.389,0.0,0.1,.000,0.5,1.1,.412,.389,0.4,0.5,.750,0.5,0.7,1.2,0.3,0.3,0.1,0.3,1.0,1.3,,thierad01
18,Chris Mañon,24,SG,4,0,3.5,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.3,0.5,0.8,0.0,0.3,0.5,0.0,0.8,0.0,,manonch01
19,Christian Koloko,25,C,2,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,,kolokch01
,Team Totals,,,46,46,240.0,41.5,83.9,.495,11.9,34.0,.351,29.6,49.9,.594,.566,20.9,27.0,.773,9.9,31.4,41.3,24.9,8.0,4.1,14.9,19.4,115.9,,-9999
