Year,Total Sales (million),Imports from Japan (million),Import Share (%)
2015,17.47,1.60,9.2
2016,17.55,1.62,9.2
2017,17.13,1.65,9.6
2018,17.21,1.63,9.5
2019,16.96,1.58,9.3
2020,14.50,1.26,8.7
2021,14.93,1.35,9.0
2022,13.75,1.49,10.8
2023,15.62,1.49,9.5
2024,15.98,1.52,9.5
2025,15.80,1.35,8.5
