Year,Toyota (million),Honda (million),Nissan (million),Total Japanese 3 (million),Market Share (%) ,US Light Vehicle Total (million)
2010,1.76,1.23,0.96,3.95,32.1,12.30
2015,2.49,1.59,1.45,5.53,31.9,17.47
2018,2.43,1.61,1.49,5.53,32.2,17.22
2020,2.11,1.35,0.98,4.44,30.7,14.47
2023,2.25,1.37,0.89,4.51,28.6,15.75
2024,1.99,1.29,0.87,4.15,28.5,14.56
2025*,2.05,1.32,0.90,4.27,,14.90
