year,industrial_production_index_2017_100,capacity_utilization_percent,manufacturing_employment_thousand,auto_employment_thousand,electronic_employment_thousand,machinery_employment_thousand,fixed_asset_investment_billion_usd,semiconductor_index_2017_100,auto_production_million_vehicles,steel_production_million_short_tons,autos_export_unit_price,electronics_export_unit_price,lithium_export_unit_price,rare_earths_export_unit_price,semiconductors_export_unit_price,soybeans_export_unit_price,autos_export_value_billion_usd,electronics_export_value_billion_usd,lithium_export_value_billion_usd,rare_earths_export_value_billion_usd,semiconductors_export_value_billion_usd,soybeans_export_value_billion_usd,autos_import_unit_price,electronics_import_unit_price,lithium_import_unit_price,rare_earths_import_unit_price,semiconductors_import_unit_price,soybeans_import_unit_price,autos_import_value_billion_usd,electronics_import_value_billion_usd,lithium_import_value_billion_usd,rare_earths_import_value_billion_usd,semiconductors_import_value_billion_usd,soybeans_import_value_billion_usd,autos_top_export_dest,electronics_top_export_dest,lithium_top_export_dest,rare_earths_top_export_dest,semiconductors_top_export_dest,soybeans_top_export_dest,autos_top_import_source,electronics_top_import_source,lithium_top_import_source,rare_earths_top_import_source,semiconductors_top_import_source,soybeans_top_import_source,dxy,cny,brl,ars,eur,jpy,us2y,us5y,us10y,us30y,credit_spread_bbb_aaa,sp500,nasdaq,carz,smh,xli,erp,cpi_all,cpi_core,cpi_food_beverage,cpi_auto,ppi_intermediate,ppi_final,import_price_index,ppi_auto_parts,ppi_electronic_components,gdp_real,gdp_yoy,pmi,ceo_confidence,oecd_bci,consumer_confidence,soybean,soy_oil,soy_meal,dy_oxide,prnd_oxide,nd_oxide,lithium,cu,al,polysilicon,cobalt,nickel
2016,99.2,74.8,12348,935.3,1048.5,1075.2,2315.6,98.5,12.2,78.5,100000,7.5,10000/150,10,0.60,383,500,1500,0.5,0.2,300,22.6,88000,8,10000/150,8,0.63,400,1500,4000,2.0,1.2,250,1.2,Canada,Mexico,EU,EU,China,China,Mexico,China,China,China,China,Brazil,95.7,6.64,3.49,14.8,0.9,108.8,0.83,1.37,1.84,2.6,0.45,2094,4737,32.5,57.0,54.5,4.5,240.0,247.9,242.8,100.5,179.6,109.9,116.8,125.4,67.6,18624,1.8,51.5,55,100.2,99.8,9.58,0.32,323,220,45,40,8000,4863,1604,20,26000,9595
2017,100.0,75.5,12448,945.7,1052.3,1085.6,2450.2,100.0,11.2,81.6,100000,7.6,10000/152,10,0.60,400,520,1600,0.55,0.22,320,24.0,89000,8.1,10000/152,8.1,0.64,406,1600,4200,2.2,1.3,270,1.3,Canada,Mexico,EU,EU,China,China,Mexico,China,China,China,China,Brazil,93.0,6.75,3.19,16.6,0.89,112.1,1.26,1.92,2.33,2.89,0.38,2449,6181,38.2,80.5,66.8,4.2,245.1,253.5,244.9,99.2,187.6,112.8,120.6,125.2,66.7,19073,2.4,55.1,62,100.5,120.5,9.33,0.33,319,250,60,55,15000,6170,1968,18,58000,10411
2018,102.5,76.9,12691,959.1,1060.4,1102.8,2605.8,102.8,11.3,86.6,100000,7.7,10000/155,10,0.61,375,550,1700,0.6,0.25,340,18.0,89000,8.1,10000/155,8.2,0.66,400,1700,4400,2.5,1.4,290,1.4,Canada,Mexico,EU,EU,China,China,Mexico,China,China,China,China,Brazil,95.1,6.62,3.65,28.1,0.85,110.4,2.52,2.76,2.91,3.11,0.42,2747,7138,37.4,89.3,69.2,4.8,251.1,260.0,248.3,98.6,201.5,116.5,124.9,125.7,65.9,19682,3.2,58.7,58,100.3,130.1,9.31,0.3,332,180,50,45,16500,6523,2110,15,70000,13205
2019,101.5,75.9,12835,954.2,1065.7,1115.3,2750.4,101.2,10.9,87.8,100000,7.7,10000/158,10,0.62,348,520,1650,0.65,0.28,360,16.0,89000,8.1,10000/158,8.3,0.65,395,1550,4300,2.8,1.5,300,1.5,Canada,Mexico,EU,EU,China,China,Mexico,China,China,China,China,Brazil,97.5,6.91,3.95,48.3,0.89,109.0,1.92,1.95,2.14,2.57,0.5,2914,7973,34.8,120.5,77.4,5.1,255.7,265.9,252.9,99.1,198.1,118.2,123.3,127.8,64.5,20248,2.9,51.2,45,99.8,128.9,8.91,0.31,305,250,45,40,12000,6007,1792,12,35000,13938
2020,95.0,71.5,12178,870.6,1025.9,1050.4,2650.1,95.6,8.8,72.7,100000,7.3,10000/150,10,0.64,423,400,1600,0.8,0.3,350,25.8,86000,7.6,10000/150,8.3,0.62,375,1200,4200,3.0,1.5,280,1.5,Canada,Mexico,EU,EU,China,China,Mexico,China,China,China,China,Brazil,93.4,6.9,5.16,70.5,0.88,106.8,0.38,0.53,0.89,1.45,0.85,3218,10462,45.6,175.2,79.8,5.5,258.8,270.1,261.6,100.9,187.8,118.5,118.7,128.4,63.0,19609,-3.2,50.9,42,98.5,96.7,10.42,0.35,335,280,50,45,8500,6181,1704,10,32000,13792
2021,99.8,76.2,12453,905.8,1040.2,1070.1,2850.7,100.5,9.2,85.8,100000,7.5,10000/155,10,0.65,419,580,1800,0.9,0.32,400,26.0,89000,7.8,10000/155,8.4,0.64,381,1600,4500,3.5,1.6,320,1.6,Canada,Mexico,EU,EU,China,China,Mexico,China,China,China,China,Brazil,91.9,6.45,5.39,95.2,0.85,109.8,0.28,0.86,1.45,1.9,0.4,4273,14448,59.3,280.4,101.5,4.3,271.0,282.6,273.5,111.5,236.8,128.6,134.8,131.6,62.6,21288,8.6,58.7,65,100.8,108.3,13.38,0.58,420,350,90,85,25000,9322,2473,25,50000,18466
2022,100.5,77.8,12762,950.4,1065.8,1105.7,3100.3,102.0,10.1,82.0,100000,7.7,10000/164,10,0.66,429,620,2000,1.0,0.35,420,27.0,90000,7.7,10000/164,8.2,0.65,400,1750,4600,4.0,1.8,340,1.8,Canada,Mexico,EU,EU,China,China,Mexico,China,China,China,China,Brazil,108.2,6.73,5.16,130.6,0.95,131.5,2.95,3.0,2.95,3.02,0.55,4098,12041,50.1,210.3,98.5,5.2,292.7,306.2,302.3,133.8,279.7,151.3,152.5,145.5,64.2,21822,2.5,52.8,52,99.7,104.0,14.85,0.68,480,450,150,140,70000,8811,2710,35,70000,25529
2023,99.2,76.5,12958,965.2,1080.5,1120.3,3250.9,103.5,10.6,80.9,100000,7.8,10700/170,10,0.66,431,600,1950,1.1,0.38,430,25.0,89000,7.7,10700/170,8.3,0.65,396,1700,4550,4.2,1.9,360,1.9,Canada,Mexico,EU,EU,China,China,Mexico,China,China,China,China,Brazil,103.4,7.08,4.99,295.0,0.92,140.9,4.56,4.06,3.96,4.11,0.5,4168,13219,52.7,160.8,107.3,5.0,304.7,320.3,324.4,135.3,255.3,156.0,143.7,155.7,66.8,22530,3.2,47.4,48,99.4,104.7,13.02,0.55,410,300,80,75,35000,8491,2255,15,33000,21521
2024,100.0,77.0,12991,970.1,1090.4,1125.6,3400.5,105.0,11.0,82.5,100000,7.6,10800/180,10,0.66,452,650,2140,1.2,0.4,440,28.0,100000,7.7,10800/180,8,0.66,400,1800,4630,4.32,2.0,370,2.0,Canada,Mexico,EU,EU,China,China,Mexico,China,China,China,China,Brazil,102.5,7.1,5.0,850.0,0.93,151.5,4.41,4.13,4.08,4.35,0.45,5428,16920,58.4,240.5,125.0,5.5,314.1,330.1,332.2,132.8,252.8,160.5,144.0,160.2,67.5,23050,2.3,48.5,50,99.5,98.7,11.04,0.45,350,250,60,55,14000,9142,2419,8,28000,16814
2025,100.5,76.8,13000,975.0,1100.0,1130.0,3550.0,108.0,11.7,86.0,110000,9.3,10400/200,42,0.82,520,576 (annualized),2040 (annualized),1.2 (annualized),0.36 (annualized),456 (annualized),25.2 (annualized),110000,9,10400/200,40,0.80,475,1620 (annualized),4200 (annualized),4.08 (annualized),1.68 (annualized),360 (annualized),1.9 (annualized),Canada,Mexico,EU,EU,China,China,Mexico,China,China,China,China,Brazil,99.4,7.2,5.61,1324.0,0.89,148.9,3.95,3.95,4.07,4.45,0.6,6140,20143,75.0,350.7,153.7,7.86,322.5,338.5,341.0,131.5,255.0,165.0,145.0,163.0,68.0,23800,3.3,48.8,48,99.0,95.0,10.33,0.42,295,187,76,70,9000,9835,2600,6,45000,15800
