年份,MFN基准税率,额外报复性关税（对美国）,总有效税率（约，包括VAT）
2018,3%,25%,41%
2019,3%,25%-30.5%,44%-47%
2020,3%,0%-25%,16%
2021-2023,3%,0%-25%,16%
2022-2023,3%,0%-25%,16%
2023-2023,3%,0%-25%,16%
2024,3%,0%-15%,16%-32%
2025,3%,13%-20%,34%-44%
