数据年月,贸易伙伴名称,美元
202101,阿根廷,59870.0
202101,阿根廷,19089025.0
202102,阿根廷,17133750.0
202106,阿根廷,45678837.0
202107,阿根廷,293341805.0
202107,阿根廷,43396815.0
202108,阿根廷,84955951.0
202109,阿根廷,184826827.0
202109,阿根廷,38841381.0
202109,阿根廷,5418378.0
202109,阿根廷,41329923.0
202109,阿根廷,11830200.0
202109,阿根廷,33174008.0
202110,阿根廷,231978725.0
202110,阿根廷,151059170.0
202110,阿根廷,29814019.0
202110,阿根廷,8642550.0
202110,阿根廷,9062800.0
202110,阿根廷,6762273.0
202110,阿根廷,56056040.0
202110,阿根廷,2502808.0
202110,阿根廷,16783662.0
202110,阿根廷,23265400.0
202110,阿根廷,4178966.0
202111,阿根廷,327350805.0
202111,阿根廷,7302433.0
202111,阿根廷,69926881.0
202111,阿根廷,16754637.0
202111,阿根廷,11532600.0
202111,阿根廷,40161448.0
202111,阿根廷,9218720.0
202111,阿根廷,28910046.0
202111,阿根廷,36604259.0
202111,阿根廷,27259642.0
202112,阿根廷,71951018.0
202112,阿根廷,45825723.0
202112,阿根廷,39723015.0
202112,阿根廷,38489913.0
