数据年月,贸易伙伴名称,美元
202001,阿根廷,187886904.0
202001,阿根廷,9904571.0
202001,阿根廷,14248750.0
202001,阿根廷,150073099.0
202001,阿根廷,34348406.0
202001,阿根廷,9986187.0
202001,阿根廷,6279350.0
202001,阿根廷,14932759.0
202001,阿根廷,6691367.0
202001,阿根廷,41081289.0
202001,阿根廷,56604666.0
202001,阿根廷,8681829.0
202001,阿根廷,8372466.0
202001,阿根廷,4066300.0
202002,阿根廷,67920784.0
202002,阿根廷,34431129.0
202002,阿根廷,4715662.0
202002,阿根廷,29880116.0
202002,阿根廷,16574239.0
202002,阿根廷,13133887.0
202002,阿根廷,6326400.0
202002,阿根廷,2476307.0
202003,阿根廷,26492254.0
202003,阿根廷,35572341.0
202003,阿根廷,25823452.0
202003,阿根廷,21968177.0
202003,阿根廷,15485844.0
202003,阿根廷,10193280.0
202003,阿根廷,380.0
202004,阿根廷,21647066.0
202004,阿根廷,1310.0
202005,阿根廷,1310.0
202005,阿根廷,708.0
202006,阿根廷,22530396.0
202006,阿根廷,84199778.0
202006,阿根廷,8964756.0
202007,阿根廷,384564208.0
202007,阿根廷,25719406.0
202007,阿根廷,24282060.0
202007,阿根廷,24735347.0
202007,阿根廷,45244083.0
202007,阿根廷,30510477.0
202007,阿根廷,3328428.0
202007,阿根廷,23483808.0
202007,阿根廷,9214000.0
202007,阿根廷,3754935.0
202008,阿根廷,311235871.0
202008,阿根廷,24682555.0
202008,阿根廷,27275962.0
202008,阿根廷,9568468.0
202009,阿根廷,127914714.0
202009,阿根廷,57365396.0
202009,阿根廷,26117169.0
202009,阿根廷,14305326.0
202009,阿根廷,75728611.0
202009,阿根廷,51584504.0
202009,阿根廷,10809612.0
202009,阿根廷,11139573.0
202010,阿根廷,13131736.0
202010,阿根廷,29266072.0
202010,阿根廷,26304526.0
202010,阿根廷,25500227.0
202010,阿根廷,69181571.0
202010,阿根廷,8089711.0
202010,阿根廷,8080400.0
202010,阿根廷,25574204.0
202010,阿根廷,6738856.0
202010,阿根廷,6525803.0
202010,阿根廷,6520644.0
202010,阿根廷,9958050.0
202010,阿根廷,24968510.0
202010,阿根廷,12474514.0
202010,阿根廷,7099155.0
202010,阿根廷,14792760.0
202010,阿根廷,22810742.0
202011,阿根廷,39926501.0
202011,阿根廷,28524781.0
202011,阿根廷,23802885.0
202011,阿根廷,30359526.0
202011,阿根廷,23208320.0
202011,阿根廷,12077381.0
202011,阿根廷,28930436.0
202011,阿根廷,187786.0
202011,阿根廷,13261500.0
202012,阿根廷,7576277.0
202012,阿根廷,17572449.0
202012,阿根廷,21117311.0
202012,阿根廷,9312904.0
